generation,time,#candidates,#operators
6,7475.03996348381,2,8
9,10246.611393213272,11,74
14,16568.954594373703,18,154
15,17358.481112003326,14,115
16,18510.41571164131,15,143
17,19744.27901649475,9,80
18,20339.432075977325,13,121
19,21533.437032699585,25,227
20,22958.407101631165,17,179
7,8059.083556175232,2,12
10,11437.021679878235,22,161
21,24064.66676044464,6,52
22,24490.065430402756,20,206
23,25770.015871047974,23,245
24,26952.095091342926,7,73
25,27630.146220445633,7,79
26,28536.24607038498,28,318
27,29928.226397037506,15,185
28,30806.806147813797,21,259
29,32329.935306310654,9,105
8,8641.428009271622,5,31
11,12914.28358244896,22,167
12,14325.781685829163,10,74
13,15086.797013759613,19,151
