generation,time,#candidates,#operators
1,1225.7738440036774,11,21
7,39637.58360743523,26,117
8,42065.91827535629,13,61
2,9359.504206895828,10,26
9,45031.305594444275,18,84
10,48467.03676533699,19,90
11,51896.22117066383,23,124
12,55928.4189953804,20,104
13,58453.95473122597,16,82
3,14867.507155418396,8,25
14,61216.21277189255,15,74
15,63473.36405706406,22,106
16,67067.91935014725,18,91
17,70286.10035610199,8,41
18,72210.64931440353,15,84
4,21662.34647655487,15,52
19,74597.933822155,23,135
20,77560.06867980957,26,162
21,80475.3448843956,25,175
22,83917.45654034615,21,150
23,86244.5078921318,19,140
24,89199.35161471367,28,210
25,91843.02928709984,46,340
5,27483.239351511,16,58
26,94721.42837810516,26,197
27,96472.31703877449,34,266
28,99264.76441335678,25,202
29,101174.04534983635,35,286
6,32753.77296924591,23,91
