generation,time,#candidates,#operators
7,24622.201912641525,1,2
8,25491.158014297485,1,3
18,62802.527333021164,4,24
28,96714.4481844902,11,100
29,97792.27242946625,14,123
19,66085.73081707954,1,7
20,69951.49616622925,2,7
21,70542.98838829994,2,12
22,74317.84386014938,3,18
9,31505.069280147552,1,4
23,76490.66732215881,11,76
12,44540.13008260727,1,5
24,81537.91339826584,11,83
14,49883.57860803604,1,5
25,83220.66416549683,14,109
15,52818.558406353,1,5
26,87743.96441435814,12,103
16,55010.028434515,2,12
27,90909.62173867226,22,193
17,58789.40590596199,1,5
