generation,time,#candidates,#operators
1,555.7754738330841,1,2
3,7886.2529990673065,3,10
5,12361.487866163254,9,45
9,30278.93979907036,37,239
10,36237.51261472702,39,260
11,41158.5193567276,41,276
6,15422.904739618301,22,124
12,46873.42518162727,27,177
13,50335.89583349228,31,236
14,54617.23000788689,30,240
15,59131.690381765366,16,117
16,61215.66233897209,42,335
17,66236.49311232567,29,234
18,70370.51745128632,13,101
4,10532.807526111603,5,20
7,21150.32554602623,45,279
19,73330.98576164246,36,307
20,77965.25097370148,16,135
21,80418.50519967079,24,212
22,83878.2452507019,37,317
23,89135.34145069122,18,153
24,92699.65653276443,23,205
25,96507.47656393051,32,282
26,100565.26272439957,23,229
27,105717.08917856216,27,254
28,110489.69669866562,17,177
29,114932.09679031372,21,208
8,28194.46945500374,15,87
