generation,time,#candidates,#operators
0,266.2743194103241,3,9
1,1478.3951110839844,17,57
10,21138.068736314774,10,72
11,22283.38146162033,16,105
12,25303.349739789963,11,85
13,27978.171857595444,9,64
14,33227.888199329376,5,35
15,36549.57876801491,5,45
16,39396.40419006348,6,47
17,42634.39030623436,8,62
18,47923.0255587101,3,18
19,52561.97837948799,2,17
20,55484.61674809456,2,13
21,60800.81995129585,2,8
22,67938.58186650276,1,9
23,72912.90812301636,2,12
24,78912.548214674,5,42
25,83966.38112068176,1,8
26,89438.13418388367,4,35
27,96689.18116426468,2,18
28,103904.47148609161,2,13
29,113273.55500626564,3,34
2,2410.2035040855408,12,41
3,4032.4495787620544,7,36
4,5913.066989183426,10,49
5,8215.009711027145,11,54
6,10138.060464382172,3,16
7,11947.440314531326,10,52
8,13853.592261314392,10,57
9,16041.445739030838,10,61
