generation,time,#candidates,#operators
0,796.0966100692749,3,9
7,19256.37483906746,7,38
8,22730.922425031662,3,18
9,27143.81193804741,4,23
10,29912.421736717224,3,15
11,34448.42232513428,1,6
12,39854.3469145298,4,32
3,9468.091777563095,2,8
13,43223.56938123703,7,58
14,49275.669855594635,4,33
15,53114.01125621796,1,8
16,58504.45451235771,1,7
17,60430.715065956116,1,11
18,64401.562556266785,3,29
19,67589.30232596397,2,20
6,16575.857504844666,5,21
20,73542.37859678268,2,19
21,79035.21991229057,2,22
22,82647.79867911339,2,23
23,87789.53434538841,2,16
24,91161.70550441742,2,27
25,99950.43369698524,1,3
26,101273.67199110985,4,31
27,107584.22360253334,2,20
28,112018.82224369049,1,11
29,118128.89531421661,1,14
