generation,time,#candidates,#operators
0,107.25812554359436,16,48
7,4755.456158399582,15,70
8,5073.60418343544,9,51
9,5782.974301099777,27,148
10,6618.163372755051,20,119
1,633.08282995224,10,34
11,7498.64549446106,18,103
12,8157.588150501251,18,109
13,8964.701460838318,5,38
14,9508.55632853508,16,100
15,10258.525338172913,16,104
16,10771.0283472538,24,170
2,1191.9895770549774,17,57
17,11593.81734919548,17,118
18,12172.783023118973,26,197
19,12844.900542974472,23,171
20,13649.496789216995,11,90
21,14094.983850717545,20,171
22,14919.906928300858,21,174
23,15514.005554437637,15,126
24,16150.714777469635,13,104
25,16799.958113193512,10,85
26,17248.442623853683,16,139
3,1709.8036081790924,15,59
27,17807.156914949417,23,216
28,18496.877379894257,15,151
29,19247.79623913765,16,173
4,2434.965294599533,9,37
5,3069.533926010132,17,68
6,3807.880980491638,9,36
