generation,time,#candidates,#operators
0,149.38444423675537,5,15
5,16124.680526733398,3,21
16,51642.59008002281,24,192
17,52526.186114788055,22,174
18,56256.66481971741,20,166
6,20080.003620147705,6,33
19,59308.25137424469,21,170
20,61995.89910888672,22,183
21,64932.805978775024,24,211
7,24094.11969780922,1,5
8,25313.411215543747,2,13
22,68214.57788205147,14,113
9,26960.630394935608,2,12
23,74038.83375692368,4,38
24,75472.30450987816,1,9
25,80932.83619689941,1,7
26,83623.78745532036,12,116
10,31161.007693767548,4,24
27,87027.00084280968,23,219
28,90500.93227958679,14,138
11,34553.85647058487,2,11
29,93500.84458065033,20,192
12,36763.639268159866,7,48
13,40163.33951878548,12,79
14,43554.685943841934,15,111
1,4876.34752702713,1,4
2,8017.629439115524,3,12
15,45530.51408958435,14,107
3,11671.507560968399,1,4
