generation,time,#candidates,#operators
0,30.465582370758057,14,42
7,2575.5663647651672,9,46
8,2691.826726436615,19,94
9,3047.3735241889954,13,63
10,3394.4801166057587,6,29
1,408.9007601737976,15,46
11,3673.94996881485,11,59
12,4032.944719552994,14,88
13,4395.560221672058,17,93
14,4839.202829122543,7,49
15,5140.634131193161,14,82
16,5525.0532903671265,17,119
17,5924.90686583519,7,42
18,6173.764892578125,9,58
19,6624.350182056427,18,125
20,7028.461408853531,13,92
21,7444.0156943798065,13,74
22,7827.0125823020935,5,33
23,8012.255432844162,10,65
2,695.9975864887238,6,20
24,8307.456299066544,14,105
25,8752.761379241943,16,125
26,9229.380262613297,15,116
27,9647.553320169449,13,109
3,944.2415108680725,17,63
28,10051.830404281616,10,80
29,10376.443288087845,14,117
4,1236.5915262699127,18,67
5,1630.3479375839233,15,67
6,2038.348483324051,8,38
