generation,time,#candidates,#operators
0,56.81402397155762,6,18
2,1012.94597864151,8,25
21,12364.960281848907,5,49
22,12814.541827201843,4,24
23,13787.889959812164,4,41
24,14794.10128569603,4,56
25,15359.05278134346,2,18
26,16271.200819015503,1,9
27,17852.53932762146,1,9
28,18192.375644207,4,64
29,19108.87180662155,4,49
3,1543.0837466716766,1,3
4,1841.1132938861847,4,16
5,2219.6468575000763,3,17
6,2828.9670655727386,3,12
7,3086.708930015564,5,24
8,3710.019917011261,7,39
9,4196.236019849777,3,24
10,4744.893244028091,6,39
11,5662.649976491928,6,41
12,5937.48629283905,8,61
1,704.0458436012268,2,7
13,6565.719993829727,5,41
14,7280.602096557617,4,32
15,7898.829803228378,3,20
16,8334.637645483017,7,67
17,8873.464146375656,7,60
18,9880.386033058167,5,39
19,10527.833713531494,3,31
20,11398.799903869629,2,24
