generation,time,#candidates,#operators
3,898.5947034358978,1,3
4,1190.9945027828217,1,4
9,2705.5478234291077,3,21
26,10469.347222566605,5,59
27,10751.888463020325,5,58
28,11089.085188388824,5,68
29,11673.79536986351,3,43
10,3272.3102521896362,3,18
11,3625.616185903549,2,16
12,4045.1962904930115,5,36
5,1718.4851396083832,1,5
13,4607.370958328247,7,54
6,1796.5617730617523,3,15
14,5117.006087779999,2,18
15,5408.141421318054,7,66
16,5930.193984270096,5,48
17,6325.831784486771,3,29
18,6696.264844179153,4,43
19,7014.6791479587555,5,52
20,7447.348341226578,8,88
7,2312.2945623397827,1,5
21,7927.550650835037,5,55
22,8413.272665023804,11,122
8,2467.891540288925,3,17
23,8920.941909074783,7,81
24,9437.077379465103,6,73
25,10008.940572500229,4,47
