generation,time,#candidates,#operators
0,222.14786577224731,1,3
2,5406.70447063446,1,3
9,34139.50785398483,3,23
27,118298.38427591324,3,29
28,118687.06621146202,6,65
29,123860.22495794296,7,89
10,37442.24905729294,2,15
11,40637.28317093849,3,21
12,45569.04860973358,7,61
6,22153.740379333496,2,12
13,49886.65669822693,5,45
14,54529.01553559303,2,18
15,59530.07730937004,13,129
7,24706.206431150436,2,15
16,63897.46247291565,4,39
17,70429.09302043915,1,10
18,73192.5610473156,3,32
19,76593.21550631523,5,59
20,81272.66579270363,6,54
8,29387.998121976852,4,28
21,86124.07851338387,1,13
22,91046.48255991936,2,25
23,95695.3285381794,8,100
24,100452.78574156761,18,230
25,105389.39183092117,2,25
26,109736.19851970673,3,42
