generation,time,#candidates,#operators
0,2670.6603865623474,2,6
8,33682.14685511589,3,13
29,107935.00138401985,18,204
9,38386.40241217613,1,8
10,40930.959914684296,4,36
11,47208.89437842369,1,7
12,48412.25975346565,1,7
14,52472.09817433357,6,45
3,14609.43328666687,1,5
15,56030.86376595497,3,25
16,59193.95420765877,5,40
5,24511.520653247833,1,4
17,62091.86931204796,2,18
18,65559.66496181488,2,19
19,67010.12666773796,5,45
6,26531.56066799164,4,24
20,70738.1990184784,6,65
21,74270.47429990768,5,53
22,76704.87792086601,7,73
23,80024.87772035599,5,55
24,85333.62325668335,5,61
25,91539.74734377861,7,81
27,98854.32109379768,8,103
7,30682.136314868927,1,3
28,102952.81561970711,10,119
