generation,time,#candidates,#operators
0,288.4394245147705,12,36
11,21728.527126073837,8,53
12,22996.576405525208,9,52
13,25410.020076274872,6,38
14,28492.690728902817,7,60
1,1398.282233953476,6,18
15,30272.374608516693,9,67
16,33747.56517481804,7,62
17,37550.65171742439,2,10
18,40175.31006145477,3,35
19,42799.6431889534,1,7
20,44986.98454117775,3,32
21,47066.8893930912,5,54
22,49592.01119375229,8,74
23,54129.36046624184,5,44
24,58038.84164047241,3,33
25,61804.09404659271,7,91
26,66033.24627327919,1,9
27,69719.4653582573,3,41
2,2425.429497241974,8,28
29,78429.58758378029,1,7
3,3709.457672357559,9,39
4,5151.487576723099,9,38
5,6720.4808530807495,6,32
6,8163.289845466614,9,53
7,10049.162413835526,11,66
8,12501.617723941803,8,40
9,14742.733061790466,9,51
10,16719.708060264587,8,53
