generation,time,#candidates,#operators
1,1413.9364125728607,3,11
3,4027.175590276718,12,55
14,25124.691836833954,16,138
15,25918.825719594955,8,73
16,27335.921008586884,8,79
17,28559.400102376938,6,54
18,30466.85307073593,10,92
19,31647.901985406876,8,78
20,33351.519085884094,8,85
21,34997.20854854584,9,96
22,36532.932827711105,6,75
23,38105.905064344406,13,165
24,40039.600994586945,10,126
25,41680.35564136505,7,105
4,5501.71196103096,13,66
26,43463.11502623558,6,85
27,44863.550463438034,6,90
28,46793.71744346619,5,68
29,48019.97156381607,7,113
2,2917.2104909420013,4,18
5,8700.505949020386,4,23
6,10401.654123067856,1,5
7,10935.359596729279,3,18
8,12325.431082248688,6,38
9,13770.795031309128,10,71
10,16535.7488489151,2,17
11,17709.42230272293,14,108
12,19780.5264441967,2,18
13,21391.21975159645,13,114
