generation,time,#candidates,#operators
0,34.668696880340576,3,9
6,3465.5723118782043,5,24
7,4379.411991119385,3,16
8,5487.792598485947,2,12
9,5970.191468238831,1,6
10,7026.125696897507,3,17
11,7788.861345767975,5,37
12,9098.171867370605,1,6
1,586.3150382041931,2,6
13,10276.021693706512,1,8
14,11147.911489009857,3,19
15,11961.676859855652,2,14
16,12676.457924604416,2,18
17,13624.68798327446,3,24
18,14763.248767375946,2,18
19,16164.31437921524,1,11
20,16856.707018136978,3,21
21,18321.287004709244,1,7
22,19062.065476179123,2,25
2,985.9598860740662,2,8
23,20620.17860364914,1,13
26,23319.964848041534,6,65
27,24810.68705677986,3,28
29,28122.46178293228,1,11
3,1845.4146208763123,2,9
4,2190.8479449748993,1,5
