generation,time,#candidates,#operators
0,71.02884101867676,2,6
3,4392.46470284462,8,38
17,28305.216943264008,9,91
18,29415.76000070572,7,87
19,30836.599499464035,4,40
20,32250.76062655449,11,136
21,34163.93042111397,7,90
22,35171.51241993904,12,133
23,37083.6188416481,13,148
24,39434.28031516075,8,89
25,41321.3667113781,5,54
26,43353.36357712746,7,101
27,44852.68906092644,4,55
5,6599.249250650406,4,20
28,46867.367748975754,13,174
29,48720.68190097809,2,23
1,1991.7877445220947,4,14
6,8060.819931983948,6,39
7,9998.11924123764,9,58
8,12842.955651044846,1,6
9,14278.232341766357,2,13
10,14852.548421859741,2,16
11,16604.31409597397,11,81
12,19542.995441675186,1,7
13,19803.920894622803,7,63
2,3069.4213960170746,4,17
14,21806.594701766968,12,120
15,23884.495015144348,12,133
16,25553.42107486725,11,109
