generation,time,#candidates,#operators
0,72.11872601509094,2,6
7,15314.940758228302,5,30
26,80804.1401360035,4,48
27,85016.93904709816,2,27
28,89333.84786701202,1,11
29,93899.76619791985,3,35
8,17908.81420135498,5,30
2,5318.009205579758,3,13
9,22749.70417714119,4,30
10,26165.80117893219,4,30
11,28691.721247911453,2,17
12,32631.70927786827,1,6
13,34516.521513938904,13,110
14,37764.29245209694,6,54
3,7045.24719953537,2,11
15,40884.92593860626,5,44
16,43404.662001371384,3,24
17,46164.252767562866,5,38
18,49166.907796382904,5,47
19,51251.27779889107,3,20
4,9514.464155435562,1,5
20,54576.08048534393,15,172
5,13405.104767560959,1,5
22,63078.7080476284,2,23
23,69191.2487707138,4,62
6,14975.893422365189,1,6
24,71336.29113054276,4,51
25,78697.00986218452,3,40
