generation,time,#candidates,#operators
0,782.9803719520569,7,21
1,4150.31329369545,7,22
9,27941.38151693344,8,47
10,29244.948870658875,4,26
11,31517.577078580856,8,50
12,34897.51276946068,8,55
13,38957.358585596085,11,69
14,43410.04587340355,7,51
15,47257.86263203621,24,195
2,5664.431225299835,7,30
16,50768.57905340195,37,295
17,55565.64173078537,24,192
3,8227.521429300308,12,46
18,59452.53513550758,32,259
19,62694.99577307701,24,218
20,65898.08411192894,28,254
21,70904.43672728539,17,156
22,74811.941021204,34,335
4,10774.254907131195,5,24
23,78594.43024206161,38,383
5,12055.402400970459,2,11
24,85401.7673432827,6,55
6,14501.320976495743,20,97
25,90025.04068994522,2,23
26,92845.74256515503,7,68
27,95267.78784132004,15,158
28,98538.30458760262,12,137
29,100870.01951742172,38,415
7,18171.8022441864,18,100
8,22306.313199281693,15,83
