generation,time,#candidates,#operators
0,40.905415534973145,6,18
2,1101.26682472229,4,13
18,8788.761605978012,12,97
19,9435.228737592697,4,37
20,9967.830531597137,5,42
3,1460.2186193466187,2,8
21,10622.558770418167,3,23
22,10949.345167636871,5,47
23,11840.743869304657,4,37
24,12396.350861787796,8,82
4,1698.328037261963,2,8
25,13160.524621486664,1,10
26,13566.703576087952,1,8
28,14843.94842505455,3,39
29,15588.098657131195,6,66
5,2435.6667625904083,2,7
6,2678.1630334854126,7,35
7,3247.9360117912292,10,49
8,3746.5858039855957,10,48
9,4280.210402727127,4,20
10,4876.30349779129,3,17
11,5299.861917734146,5,25
12,5827.249623298645,7,45
1,540.4655084609985,2,7
13,6321.096300125122,11,69
14,6743.311641693115,4,26
15,7273.6831138134,10,71
16,7827.355308055878,6,48
17,8349.751002550125,4,32
