generation,time,#candidates,#operators
0,203.22181749343872,16,48
9,15359.57619524002,19,140
10,16808.055829524994,21,157
11,20196.357055187225,7,50
12,22313.052557229996,7,63
13,25090.68382668495,10,80
1,1682.93230843544,3,10
14,29288.991040468216,8,78
15,34581.625274181366,4,34
16,38640.14762091637,9,101
17,43593.52046895027,7,71
18,48740.76045560837,4,47
2,2494.69051194191,9,33
19,54808.89163160324,6,71
20,59753.9105219841,1,12
21,67276.50921392441,3,39
22,73670.35613179207,1,13
23,80010.04883146286,2,26
24,90736.15767145157,3,38
25,95890.66140651703,2,30
26,104089.83996772766,3,42
27,111189.23919701576,4,67
28,119201.75343847275,2,28
29,126614.0754058361,2,38
3,4286.375786781311,11,43
4,6455.860412359238,10,62
5,7557.8010222911835,12,68
6,9653.650652170181,17,95
7,11329.840739488602,11,70
8,13709.702015399933,7,49
