generation,time,#candidates,#operators
0,155.07935070991516,6,18
4,1869.7122595310211,4,19
5,2045.5055725574493,3,12
6,2921.543119907379,2,7
7,3216.1061730384827,3,15
8,3939.0098905563354,3,16
9,4580.177185535431,4,27
10,5594.425872325897,1,5
11,6041.336236000061,2,14
12,6465.9834420681,5,31
13,7596.412654876709,2,16
14,8380.221016168594,1,10
15,8512.435203313828,4,22
16,9176.790130615234,6,39
17,10432.605639457703,1,6
18,10843.387358903885,1,10
20,12621.950977563858,1,10
21,13106.87926530838,6,44
22,14342.831244707108,1,7
24,15590.07944226265,4,39
1,845.6335575580597,1,3
25,16759.742334604263,1,14
27,19304.893939971924,2,15
28,19936.37332010269,3,25
2,1090.5267822742462,1,4
3,1409.5829274654388,1,5
