generation,time,#candidates,#operators
0,88.64305520057678,3,9
3,1675.8596923351288,4,16
4,2073.9862818717957,3,16
5,3106.7010536193848,4,21
7,4721.482058525085,2,14
9,6661.725581884384,2,14
10,7701.471925497055,1,5
12,9198.567026376724,2,16
13,10139.928267240524,3,22
14,11260.732359170914,2,16
1,702.53125166893,1,3
15,12507.07817697525,4,30
16,14086.203824520111,1,9
17,15212.748774051666,2,16
18,15759.618326425552,1,9
19,17403.071261882782,2,19
2,1238.1410987377167,3,11
20,18143.34063887596,3,31
23,22426.140336990356,5,47
24,23792.565767765045,3,30
25,25792.027935028076,3,28
26,27886.37534737587,1,11
29,31602.85242486,2,26
