generation,time,#candidates,#operators
0,751.2381930351257,9,27
1,6265.814976215363,27,108
4,26803.486123800278,34,177
5,30311.010060548782,12,65
6,33988.572400808334,11,61
7,36645.70103383064,18,100
8,40100.22045612335,16,92
9,44017.280247449875,21,120
10,46297.75877761841,13,79
11,49334.35210633278,8,53
12,51388.37653899193,14,111
13,54373.33119773865,14,101
14,56654.440418720245,9,67
15,59535.699006557465,5,41
16,61816.109305381775,9,76
17,65023.29040312767,5,40
18,67164.06487894058,7,60
19,70697.19406795502,7,63
20,72759.32946634293,15,118
21,76424.16855692863,14,107
22,80518.29013586044,11,96
23,84491.39306473732,11,96
24,88473.51374268532,8,72
25,92311.65394616127,8,65
26,95458.31523108482,6,46
2,14978.171954870224,25,110
27,99517.24577736855,11,99
28,103666.55403327942,3,28
29,107481.86737728119,3,27
3,21190.33546924591,28,135
