generation,time,#candidates,#operators
0,291.0818109512329,11,33
8,35581.520406484604,16,110
9,36904.63725709915,12,92
1,6410.229325771332,13,51
10,39786.60506057739,10,88
11,41951.70380616188,10,81
12,44938.57041978836,4,31
13,47334.90765666962,5,42
14,50190.89228963852,5,42
15,52615.50498843193,16,142
16,55740.76368188858,5,41
17,58276.30743718147,10,98
18,61224.3153591156,6,74
20,67101.74630880356,1,7
22,73810.11147642136,9,108
23,77114.69166374207,6,54
24,80471.75594162941,3,31
25,83030.03080677986,7,106
26,85879.98071956635,1,16
27,89163.05856633186,3,45
28,92653.60575270653,8,101
2,11101.650002241135,6,30
3,16584.66309070587,15,75
4,19856.9831366539,27,150
5,24985.475474357605,8,42
6,28149.416709899902,4,22
7,29892.943165540695,5,30
