generation,time,#candidates,#operators
0,31.167404651641846,13,39
7,4285.679156064987,15,59
8,4357.161314249039,19,91
9,4870.0816168785095,16,85
1,551.7725625038147,14,44
10,5570.441283464432,19,110
11,6234.172451019287,4,25
12,6737.710767745972,13,81
13,7351.549674272537,17,105
14,7835.846457481384,14,86
15,8740.971281051636,7,62
16,9132.193132400513,12,98
17,9726.061630010605,5,39
18,10292.996434688568,8,79
19,10911.06522512436,8,88
20,11387.313371419907,14,133
21,12027.302915334702,17,127
2,1163.5069410800934,9,29
22,12705.34065580368,12,85
23,13436.349601745605,19,178
24,14102.025104761124,15,167
25,14662.711015462875,10,97
26,15082.080078125,15,150
27,15821.617025136948,17,185
3,1757.38356757164,12,43
28,16537.559072494507,16,160
29,17007.826824188232,23,259
4,2151.06964302063,16,66
5,2724.893320798874,19,79
6,3579.009452819824,4,19
