generation,time,#candidates,#operators
0,529.4950461387634,1,3
1,1220.7658858299255,4,13
3,4701.214861869812,8,38
13,22160.018522024155,6,56
14,24059.558718681335,11,115
15,26323.428686141968,14,158
16,28170.387947320938,4,40
17,29355.95933866501,4,45
18,31104.071922302246,6,75
19,33114.33668875694,5,65
20,35126.683624982834,4,55
21,37197.630078315735,1,14
22,38835.31809067726,4,52
23,40373.58061528206,6,77
24,42191.77514004707,6,79
4,6422.603177070618,4,22
25,44650.02431893349,2,28
26,46640.00024867058,4,56
27,47798.49293136597,5,72
28,49528.62808012962,6,87
29,51154.130313158035,5,77
5,6715.823506355286,10,62
6,8493.56749677658,11,69
7,9946.357878923416,20,147
2,2782.43723320961,4,15
8,12587.517720460892,11,84
9,13896.019423246384,7,55
10,15703.974457263947,5,46
11,17791.150953531265,7,62
12,19740.526161909103,7,62
