generation,time,#candidates,#operators
0,353.24922490119934,3,9
3,9211.658853292465,6,30
4,12487.519448280334,4,20
6,17260.54979276657,3,19
7,20978.465933322906,2,15
8,24645.137350082397,2,16
9,30212.516726255417,1,5
10,33481.558010578156,1,8
11,36488.36611580849,1,9
12,41209.204798698425,4,30
2,4232.849142074585,4,18
13,44740.21956562996,1,10
14,47870.24653029442,1,9
15,50620.67495536804,1,11
16,54724.12514400482,3,29
17,59455.72135043144,4,45
18,63358.88589525223,3,36
19,68137.1246073246,1,9
20,71203.02570843697,4,39
21,75196.91531395912,3,36
22,81712.17579936981,1,11
23,82770.37794423103,1,13
24,85462.55059957504,3,34
25,88222.62105560303,4,49
26,91362.03397870064,3,29
27,94020.94588899612,1,16
28,97590.8371667862,1,17
29,99566.96346783638,1,12
