generation,time,#candidates,#operators
0,75.00708556175232,17,51
8,4923.233573675156,11,61
9,5105.758170604706,8,41
10,5639.423503398895,10,50
11,6133.389980792999,6,36
12,6785.616799354553,13,74
13,7456.692166090012,14,95
14,7896.933725357056,17,121
1,674.6895222663879,11,35
15,8542.772419691086,14,87
16,9148.717997312546,12,67
17,9792.739915847778,8,53
18,10260.685205698013,8,63
19,10861.168365001678,9,67
20,11521.737466335297,3,24
21,12286.382208824158,5,37
22,12468.022462844849,5,38
23,12983.143232584,7,43
24,13530.355629444122,5,49
25,13940.28397989273,9,72
26,14455.733294725418,5,58
27,15237.03713274002,5,46
28,15632.678396224976,7,77
29,16383.251388549805,8,81
2,1185.3581795692444,13,47
3,1774.2624571323395,16,59
4,2200.9007620811462,12,48
5,2789.796089410782,5,22
6,3342.605610847473,8,29
7,3928.1843535900116,13,55
