generation,time,#candidates,#operators
0,685.522851228714,2,6
1,6844.035282611847,26,103
4,24378.81733107567,30,150
5,25443.356153011322,38,206
6,29151.927213907242,42,242
7,32448.95710515976,26,150
8,35093.41681075096,49,290
9,38452.02162146568,16,96
10,40617.12339878082,20,123
2,10712.849034786224,35,154
11,42740.94213604927,15,103
12,45045.39546895027,33,226
13,49236.68651223183,23,156
14,52127.469487428665,23,153
15,55975.41239094734,16,107
16,58888.4406607151,13,85
17,61688.24374175072,10,70
18,64584.37397456169,10,77
19,67142.26264691353,17,134
20,70397.41927313805,15,126
21,73282.0425465107,16,158
22,76755.59699296951,11,110
23,79184.25321555138,18,190
24,82163.34529495239,10,97
25,85017.03315997124,13,118
26,87474.91632390022,12,118
27,90037.82269644737,19,194
28,92788.6262459755,6,66
29,95748.27692604065,9,97
3,17038.43460917473,15,70
