generation,time,#candidates,#operators
0,192.8026716709137,1,3
1,861.9889767169952,2,7
3,3430.206298828125,5,23
20,24891.017399787903,3,36
21,25076.84022307396,3,37
22,25739.64453649521,9,103
23,26793.505643606186,6,79
24,27703.58973145485,3,39
4,4478.59797334671,2,9
25,29099.751723766327,2,21
26,29349.30949807167,4,53
27,30046.582912921906,15,202
5,5901.851712942123,4,17
28,31391.421684265137,8,107
29,32179.57163500786,8,112
6,6756.29109454155,9,47
7,8255.644340991974,4,26
2,1652.5077192783356,4,18
8,10625.522684812546,1,7
9,12339.748691558838,4,26
10,12966.412874698639,6,42
11,14621.326502084732,4,31
12,15895.759256601334,6,49
13,17688.692298173904,6,54
14,18532.223660230637,6,53
15,19452.160853385925,3,24
16,20163.333186388016,5,49
17,21303.748420476913,7,72
18,22377.557160139084,8,85
19,23244.517742872238,11,117
