generation,time,#candidates,#operators
0,407.4157235622406,3,9
2,1233.8482201099396,7,24
25,14063.721884012222,4,47
26,14488.148357152939,1,12
27,15057.322173118591,1,10
28,15759.62338089943,3,35
29,16249.061084270477,3,44
3,1595.0165486335754,3,11
4,2102.4731817245483,2,8
5,2617.8791801929474,4,15
6,3320.318894147873,3,9
7,3596.8836693763733,4,20
1,785.5900681018829,5,17
8,4065.6196048259735,7,44
9,4679.378688097,4,21
10,5180.215505123138,5,30
11,5942.322159528732,9,57
12,6641.947890281677,3,20
13,7193.645663261414,5,36
14,7779.522120714188,3,23
15,8256.016838312149,4,17
16,8979.478603363037,3,25
17,9630.05968618393,3,20
18,10032.857153177261,1,7
19,10768.454405546188,2,14
20,11133.893417835236,1,9
21,11411.227169752121,4,39
22,11998.316214799881,6,61
23,13030.299336194992,3,30
24,13429.462158441544,4,43
