generation,time,#candidates,#operators
0,44.631250619888306,2,6
3,1725.54106259346,4,17
4,2038.5374071598053,6,29
5,2692.9705493450165,2,8
1,523.3125109672546,1,4
6,3305.0013813972473,5,30
7,3929.5416922569275,6,31
2,1024.7658154964447,5,22
8,4840.392921447754,1,7
9,5727.4057722091675,2,14
10,6553.799451589584,3,24
11,7763.58331155777,3,23
12,9113.399915218353,6,47
13,10856.102323770523,6,58
14,12162.635494232178,4,35
15,13905.074288129807,4,39
16,15257.122289657593,3,25
18,19628.984086036682,10,82
19,20483.54263305664,2,18
20,21019.622237205505,3,30
21,21758.069025993347,1,10
22,22245.545480251312,3,24
23,23099.437976121902,3,27
24,23982.437274217606,2,21
26,25415.47930407524,1,14
27,26211.12158560753,3,36
28,26633.91178894043,6,70
29,27326.0268099308,3,40
