generation,time,#candidates,#operators
0,315.35101890563965,17,51
9,22912.078885555267,10,62
10,25366.98360466957,12,89
11,29261.713413476944,8,57
12,33803.89566063881,11,80
13,39339.875661849976,7,45
14,44683.157096624374,2,9
15,49296.20722460747,3,19
16,50666.07990980148,6,35
17,55805.68914484978,1,6
18,60539.33258676529,2,10
20,70460.47366452217,1,10
23,87858.69965147972,1,6
24,94072.7851421833,1,10
27,108409.26868987083,2,12
1,2403.518488407135,9,29
2,4042.063325881958,13,46
3,6619.304580926895,5,22
4,8054.474506855011,11,65
5,11037.012137889862,7,37
6,12574.652372837067,14,82
7,15682.874390363693,10,63
8,19562.410425901413,13,80
